,0a) Mitglied im DVE,1a) Alter,1b) Berufserfahrung,1c) Geschlecht,1d) Arbeitsort,1e) Höchster Berufsabschluss,2a) Status Hauptarbeitsverhältnis,2b) Grund für Teilzeit- oder geringfügige Beschäftigung,2c) Beschäftigung in einer Zeitarbeitsfirma/ als Leiharbeitnehmer:in,3a) Befristetes Arbeitsverhältnis,"4a) Leitungsfunktion, mit Personalverantwortung",4b) Verantwortung für,4c) Umfang der Leitungstätigkeit durch Arbeitgeber,5a) Arbeitgeber/ Einrichtungsart,5b) Fachlicher Schwerpunkt,6a) Meine vertraglich festgelegte Wochenarbeitszeit beträgt,6b) Ich arbeite auch am...,6c) Wenn Sie Sonn- und Feiertagsdienste machen – gibt es Zuschläge bei der Vergütung?,7a) Wie erfolgt der Ausgleich von Überstunden?,7b) Leisten Sie regelmäßig Überstunden?,8a) Ich habe in den letzten 12 Monaten mindestens eine externe berufsbezogene Fortbildung wahrgenommen (inkl. Onlineangeboten),8b) Freistellung,8c) Kostenübernahme durch den Arbeitgeber,8d) regelmäßige Teilnahme an externer/ extern begleiteter Supervision (vom Arbeitgeber finanziert),9a) Gehaltsform,9b) Tarif,9c) Höhe des monatlichen Gesamtbruttogehalts* (beim Hauptarbeitgeber),10. Risiko des Therapieausfalles:Risiko trägt AG,10. Risiko des Therapieausfalles:Risiko trägt AN,10a) Risiko des Therapieausfalles,11a) Die Dauer einer Therapieeinheit orientiert sich an,"11b) Wieviel Zeit Ihrer Arbeitszeit (Angaben in %) steht Ihnen für Aufgaben wie Teambesprechungen, Dokumentation, Fahrzeit zu Hausbesuchen, Telefonate, Aufräumarbeiten, Vor-/Nachbereitung der Therapie, Praktikumsanleitung, etc. in etwa zur Verfügung?",12a) Nicht als Arbeitszeit gerechnete und nicht vergütete Arbeitsleistungen am Arbeitsplatz,12b) Der Umfang dieser nicht vergüteten Leistungen beträgt etwa (in Wochenstunden),13a) Ich arbeite zusätzlich zu meinem Hauptarbeitsverhältnis,13b) Intention der Nebentätigkeit,14a) An meiner Arbeitsstelle gibt es eine Interessensvertretung,14b) Ich bin Mitglied in einer Gewerkschaft,"15a) größere strukturelle Veränderungen, wie beispielsweise Eigentümerwechsel, Konzernbildung, usw.",15b 2)Stehen die angegebenen „wesentlichen Veränderungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15b) Wesentliche Verschlechterungen der Arbeitsbedingungen in den letzten 2 Jahren,15c 2)Stehen die angegebene „wesentlichen Verbesserungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15c) Wesentliche Verbesserungen der Arbeitsbedingungen in den letzten 2 Jahren,18a) Welche Serviceleistungen des DVE für Angestellte sind Ihnen bekannt?,18b) Welche Serviceleistungen des DVE für Angestellte haben Sie im letzten Jahren genutzt?,Anzahl aller wahrgenommen Fortbildungstage in den letzten 12 Monaten,Anzahl der Freistellungstage,Minuten bei Einzeltherapie,Minuten bei Gruppentherapie,Wie beurteilen Sie das Betriebsklima in Ihrer Einrichtung insgesamt? Bewerten Sie auf einer Skala von 1 (nahezu unerträglich) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit Vorgesetzen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit den Kolleg:innen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie zufrieden sind Sie insgesamt mit Ihrer aktuellen Arbeitssituation? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,Wie zufrieden sind Sie mit diesen Leistungen gewesen? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,"nicht vertraglich festgelegt (flexibel nach Bedarf), ca.: 1-40 Wochenstunden",vertraglich festgelegt (1-40) Wochenstunden
553,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Pädiatrie']",40,[' trifft nicht zu'],,kein Ausgleich,ja,ja,nein,ja,ja,Festgehalt,"nein, frei verhandelt","2500,-  –  2749,- €",nein,ja,,der Heilmittel-Richtlinie,25 %,[' Teambesprechungen'],1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],6.0,,,,8,5,9,5,9,,
554,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Schleswig-Holstein,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Pädiatrie'],37,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,ja,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",nein,ja,,der Heilmittel-Richtlinie,25 %,"[' Teambesprechungen', ' Praktikumsanleitung', ' Aufräum-/Reinigungsarbeiten']",2.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],13.0,5.0,,,9,8,9,9,8,,
555,nein,20 - 29 Jahre,bis 2 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Vollzeit,,nein,ja,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Pädiatrie'],39,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","3000,-  –  3249,- €",ja,nein,,der Heilmittel-Richtlinie,20 %,[' interne Fortbildungen'],1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,"ja, ver.di",nein,nein,[' keine Veränderungen'],nein,"[' mehr Personal', ' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' Newsletter des Fachausschuss für Angestellte'],[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],,,,,7,5,9,6,5,,
556,ja,30 - 39 Jahre,7 - 10 Jahre,weiblich,Mecklenburg-Vorpommern,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Pädiatrie']",35,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,nein,nein,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",ja,nein,,der Heilmittel-Richtlinie,30 %,[' Teambesprechungen'],1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' Arbeitsverdichtung'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],5.0,,,,7,5,8,3,7,,
557,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Vollzeit,,nein,nein,Abteilungs-/ Teamleitung (Institution),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Reha-Klinik,"[' Arbeitstherapie', ' Psychiatrie/Sucht/Forensik']",39,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,ja,ja,ja,ja,Festgehalt,TVöD,"3000,-  –  3249,- €",nein,nein,trifft für mich nicht zu,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),15 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Personalrat,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],2.0,2.0,0.0,90.0,6,8,8,8,7,,
558,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Bayern,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Pädiatrie']",15,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,ja,nein,Festgehalt,"nein, frei verhandelt","1250,-  –  1499,- €",nein,ja,,der Heilmittel-Richtlinie,5 %,"[' Vor- und Nachbereit', ' Aufräum-/Reinigungsarbeiten']",1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,[' Arbeitsverdichtung'],nein,[' mehr Personal'],[' Broschüre Stellenbeschreibung'],[' Broschüre Stellenbeschreibung'],1.0,,,,7,4,6,5,6,,
559,nein,30 - 39 Jahre,11 - 20 Jahre,weiblich,Sachsen-Anhalt,Berufsfachschule,Vollzeit,,nein,nein,Fachliche Leitung (Praxis),6 - 10 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Arbeitstherapie', ' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",35,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","3000,-  –  3249,- €",ja,nein,,der Heilmittel-Richtlinie,35 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' mehr Personal', ' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",2.0,2.0,,,8,9,8,8,7,5.0,
560,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Bayern,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Kardiologie / Innere Medizin', ' Neurologie', ' Onkologie', ' Orthopädie/Traumatologie/Rheumatologie']",35,[' trifft nicht zu'],,kein Ausgleich,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","3000,-  –  3249,- €",nein,ja,,der Heilmittel-Richtlinie,Ich bekommen keine Zeit zur Verfügung gestellt,"[' interne Fortbildungen', ' Vor- und Nachbereit', ' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",3.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,"[' Personalabbau', ' Arbeitsverdichtung', ' Ausweitung der Arbeitszeit', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",,,,,3,3,3,3,8,,
561,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Niedersachsen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Abteilungs-/ Teamleitung (Institution),über 10 Mitarbeiter,in zur Verfügung gestellte,Reha-Klinik,[' Neurologie'],30,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,teilweise,nein,Festgehalt,Haustarifvertrag,"2500,-  –  2749,- €",ja,nein,,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),15 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],4.0,2.0,30.0,45.0,7,8,9,6,7,,3.0
562,ja,50 - 59 Jahre,über 20 Jahre,weiblich,Hessen,Berufsfachschule,Teilzeit,aus gesundheitlichen Gründen,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Sozialpädiatr. Zentrum,[' Pädiatrie'],30,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,TVöD,"3250,-  –  3499,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,fachfremd,ja,Betriebsrat,"ja, ver.di",ja,nein,"[' Personalabbau', ' Arbeitsverdichtung', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)', ' anderes Patientenklientel']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']",,,,,3,6,3,1,7,,
563,ja,30 - 39 Jahre,3 - 6 Jahre,weiblich,Schleswig-Holstein,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Sonstige Antwort,[' Psychiatrie/Sucht/Forensik'],30,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,nein,,,ja,Festgehalt,AVR/KODA/ZKO,"3000,-  –  3249,- €",nein,nein,trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' anderes Patientenklientel'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Broschüre Arbeitsrecht']",[' Newsletter des Fachausschuss für Angestellte'],,,,,9,9,9,8,7,,
564,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Hamburg,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",12,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,ja,Festgehalt,"nein, frei verhandelt","521,-  –  999,- €",nein,ja,,der Heilmittel-Richtlinie,5 %,"[' Vor- und Nachbereit', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",1.0,fachfremd,ja,nein,nein,ja,ja,[' Arbeitsverdichtung'],nein,"[' mehr Personal', ' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],4.0,,,,8,8,7,7,6,,
565,nein,30 - 39 Jahre,11 - 20 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Vollzeit,,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Pädiatrie', ' Sonstiger']",39,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,nein,,,nein,Festgehalt,TVöD,"2500,-  –  2749,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Aufräum-/Reinigungsarbeiten'],1.0,fachfremd,ja,Mitarbeitervertretung,"ja, ver.di",nein,ja,"[' Personalabbau', ' Arbeitsverdichtung', ' anderes Patientenklientel', ' berufsfremde Tätigkeiten']",nein,"[' trifft für mich nicht zu / keine Veränderungen', ' Sonstige:']","[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],,,,,3,1,4,3,8,5.0,
566,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Pädiatrie']",38,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","3000,-  –  3249,- €",nein,ja,,der Heilmittel-Richtlinie,15 %,"[' Teambesprechungen', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",3.0,als Ergotherapeut,nein,nein,nein,nein,ja,"[' Personalabbau', ' Sonstige']",nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)', ' Sonstige:']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",4.0,6.0,,,4,7,7,5,9,,
567,nein,40 - 49 Jahre,über 20 Jahre,weiblich,Bayern,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Orthopädie/Traumatologie/Rheumatologie'],18,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","über 3500,-€",ja,nein,,der Heilmittel-Richtlinie,5 %,[' Trifft für mich nicht zu'],,als Ergotherapeut,nein,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],2.0,0.0,,,10,7,10,6,2,,
568,ja,30 - 39 Jahre,3 - 6 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Teilzeit,aus gesundheitlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie']",20,[' trifft nicht zu'],,Ausgleich über Bezahlung,ja,ja,ja,ja,nein,Kombigehalt (Sockelbetrag und variable Leistung),"nein, frei verhandelt","1250,-  –  1499,- €",ja,nein,,der Heilmittel-Richtlinie,20 %,"[' Teambesprechungen', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",2.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']","[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",2.0,2.0,,,8,8,8,7,9,,
569,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Zweigstellenleitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",20,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,"nein, frei verhandelt","1000,-  –  1249,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,als Ergotherapeut,nein,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle']",2.0,,,,8,9,7,7,7,1.0,
570,ja,20 - 29 Jahre,bis 2 Jahre,weiblich,Hamburg,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Pädiatrie'],20,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,ja,nein,Festgehalt,"nein, frei verhandelt","1000,-  –  1249,- €",nein,ja,,der Heilmittel-Richtlinie,25 %,"[' Teambesprechungen', ' interne Fortbildungen', ' Fahrtzeit zum Hausbesuch', ' Dokumentation/Berichte schreiben', ' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",3.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Newsletter des Fachausschuss für Angestellte']",2.0,,,,3,2,6,4,9,,
571,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Bayern,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Schule f. Ergoth./Hochschule,"[' Geriatrie', ' Neurologie', ' Pädiatrie']",27,[' sonntags'],Nein,kein Ausgleich,nein,ja,nein,ja,nein,Festgehalt,TVöD,"über 3500,-€",nein,nein,trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Personalrat,nein,nein,ja,[' berufsfremde Tätigkeiten'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],10.0,,,,9,9,10,9,9,,
572,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Schleswig-Holstein,Master,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,ja,trifft für mich nicht zu,,,Schule f. Ergoth./Hochschule,[' Sonstiger'],26,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,nein,Festgehalt,TV-L,"2750,-  –  2999,- €",nein,nein,trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,"ja, ver.di",nein,ja,[' Arbeitsverdichtung'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Newsletter des Fachausschuss für Angestellte']",4.0,4.0,,,7,6,8,8,10,,
